class_str,feature,time_label,mean,std,n
stable_wetland,SWIR1,2003_2004,0.6154803037643433,0.6075201630592346,71229
stable_wetland,SWIR1,2005_2006,0.6395866870880127,0.6023399233818054,71229
stable_wetland,SWIR1,2007_2008,0.6265296339988708,0.6091966032981873,71229
stable_wetland,SWIR1,2009_2010,0.5525302290916443,0.7177163362503052,71229
stable_wetland,SWIR1,2011_2012,0.4953118860721588,0.8360623121261597,71229
stable_wetland,SWIR1,2013_2014,0.5934321284294128,0.6835048198699951,71229
stable_wetland,SWIR1,2015_2016,0.682793378829956,0.5915856957435608,71229
stable_wetland,SWIR2,1997_1998,0.5266315937042236,0.6762503981590271,71229
stable_wetland,SWIR2,1999_2000,0.6095348000526428,0.6565335988998413,71229
stable_wetland,SWIR2,2001_2002,0.5490443706512451,0.7406283617019653,71229
stable_wetland,SWIR2,2003_2004,0.6002504229545593,0.7182231545448303,71229
stable_wetland,SWIR2,2005_2006,0.6288906931877136,0.7004255056381226,71229
stable_wetland,SWIR2,2007_2008,0.610964298248291,0.698453962802887,71229
stable_wetland,SWIR2,2009_2010,0.5767466425895691,0.7178801894187927,71229
stable_wetland,SWIR2,2011_2012,0.5234785079956055,0.805494487285614,71229
stable_wetland,SWIR2,2013_2014,0.5776166915893555,0.7239959239959717,71229
stable_wetland,SWIR2,2015_2016,0.6632668972015381,0.6878091096878052,71229
wetland_to_woody,NBR,1997_1998,-0.16551020741462708,0.8909235596656799,1679
wetland_to_woody,NBR,1999_2000,-0.22567303478717804,0.7242789268493652,1679
wetland_to_woody,NBR,2001_2002,0.039248932152986526,0.6948702335357666,1679
wetland_to_woody,NBR,2003_2004,0.18610745668411255,0.7602841258049011,1679
wetland_to_woody,NBR,2005_2006,-0.059162724763154984,0.6633240580558777,1679
wetland_to_woody,NBR,2007_2008,0.03759290277957916,0.6255554556846619,1679
wetland_to_woody,NBR,2009_2010,0.3595196306705475,0.758935272693634,1679
wetland_to_woody,NBR,2011_2012,0.034283991903066635,0.7402187585830688,1679
wetland_to_woody,NBR,2013_2014,0.04406926780939102,0.7274470329284668,1679
wetland_to_woody,NBR,2015_2016,0.11021973192691803,0.7706394791603088,1679
wetland_to_woody,NDMI,1997_1998,-0.4440944790840149,0.9696055054664612,1679
wetland_to_woody,NDMI,1999_2000,-0.3955616354942322,0.8010818958282471,1679
wetland_to_woody,NDMI,2001_2002,-0.1526193767786026,0.7790549993515015,1679
wetland_to_woody,NDMI,2003_2004,-0.0017698820447549224,0.8311450481414795,1679
wetland_to_woody,NDMI,2005_2006,-0.2321995049715042,0.7292585372924805,1679
wetland_to_woody,NDMI,2007_2008,-0.12226885557174683,0.6890555024147034,1679
wetland_to_woody,NDMI,2009_2010,0.1483001410961151,0.816149890422821,1679
wetland_to_woody,NDMI,2011_2012,-0.21311789751052856,0.8145875930786133,1679
wetland_to_woody,NDMI,2013_2014,-0.1672511249780655,0.7550734877586365,1679
wetland_to_woody,NDMI,2015_2016,-0.023208195343613625,0.7867137789726257,1679
wetland_to_woody,NDVI,1997_1998,-0.0890888050198555,0.8355304598808289,1679
wetland_to_woody,NDVI,1999_2000,-0.09466031193733215,0.6635743975639343,1679
wetland_to_woody,NDVI,2001_2002,0.08821810036897659,0.6809182167053223,1679
wetland_to_woody,NDVI,2003_2004,0.2683315575122833,0.6989485621452332,1679
wetland_to_woody,NDVI,2005_2006,0.0335114486515522,0.6516502499580383,1679
wetland_to_woody,NDVI,2007_2008,0.08058453351259232,0.6051898002624512,1679
wetland_to_woody,NDVI,2009_2010,0.3918711841106415,0.7149239778518677,1679
wetland_to_woody,NDVI,2011_2012,0.112847238779068,0.7097601294517517,1679
wetland_to_woody,NDVI,2013_2014,0.11935358494520187,0.6938046813011169,1679
wetland_to_woody,NDVI,2015_2016,0.1799347996711731,0.7406537532806396,1679
wetland_to_woody,NIR,1997_1998,0.10888433456420898,0.7917963266372681,1679
wetland_to_woody,NIR,1999_2000,0.0028048313688486814,0.6442949771881104,1679
wetland_to_woody,NIR,2001_2002,0.14106632769107819,0.6812621355056763,1679
wetland_to_woody,NIR,2003_2004,0.2648443281650543,0.6410064697265625,1679
wetland_to_woody,NIR,2005_2006,0.06052490323781967,0.6508991718292236,1679
wetland_to_woody,NIR,2007_2008,0.07791782915592194,0.6251345276832581,1679
wetland_to_woody,NIR,2009_2010,0.3716279864311218,0.6947213411331177,1679
wetland_to_woody,NIR,2011_2012,0.14400938153266907,0.7032133340835571,1679
wetland_to_woody,NIR,2013_2014,0.11686159670352936,0.6717746257781982,1679
wetland_to_woody,NIR,2015_2016,0.16403788328170776,0.7233343124389648,1679
wetland_to_woody,SWIR1,1997_1998,0.4883030951023102,0.694603443145752,1679
wetland_to_woody,SWIR1,1999_2000,0.36523303389549255,0.6619247794151306,1679
wetland_to_woody,SWIR1,2001_2002,0.2594675123691559,0.6342484354972839,1679
wetland_to_woody,SWIR1,2003_2004,0.29874345660209656,0.6219063997268677,1679
wetland_to_woody,SWIR1,2005_2006,0.29753100872039795,0.6464670896530151,1679
wetland_to_woody,SWIR1,2007_2008,0.2062987983226776,0.6411314606666565,1679
wetland_to_woody,SWIR1,2009_2010,0.3158699870109558,0.6459470391273499,1679
